"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Курьер может авторизоваться. Возвращается 200 и id.","3508","Успешная авторизация курьера","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_login_courier","",""
"Заказ создаётся с любым набором цветов. В теле есть track.","7530","Создание заказа с цветом: []","tests","2026-09-18","passed","2026-09-18","TestCreateOrder","test_create_order","",""
"
Для авторизации нужно передать login.
Кейс 'без password' стабильно отдаёт 504 Service unavailable —
это баг сервера, поэтому не тестируем.
","5171","Ошибка авторизации без поля login","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_create_courier","",""
"Курьер может авторизоваться. Возвращается 200 и id.","3123","Успешная авторизация курьера","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_create_courier","",""
"Заказ создаётся с любым набором цветов. В теле есть track.","7192","Создание заказа с цветом: ['BLACK', 'GREY']","tests","2026-09-18","passed","2026-09-18","TestCreateOrder","test_create_order","",""
"Заказ создаётся с любым набором цветов. В теле есть track.","10561","Создание заказа с цветом: ['BLACK']","tests","2026-09-18","passed","2026-09-18","TestCreateOrder","test_create_order","",""
"В тело ответа возвращается список заказов.","17181","Получение списка заказов","tests","2026-09-18","passed","2026-09-18","TestGetOrdersList","test_get_orders_list","",""
"Если авторизоваться под несуществующим пользователем — 404.","5573","Ошибка авторизации под несуществующим пользователем","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_login_courier","",""
"Если авторизоваться под несуществующим пользователем — 404.","6598","Ошибка авторизации под несуществующим пользователем","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_create_courier","",""
"Система вернёт 404, если неправильно указать логин или пароль.","7448","Ошибка авторизации при неверном поле: login","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_create_courier","",""
"Система вернёт 404, если неправильно указать логин или пароль.","5976","Ошибка авторизации при неверном поле: login","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_login_courier","",""
"Заказ создаётся с любым набором цветов. В теле есть track.","7989","Создание заказа с цветом: ['GREY']","tests","2026-09-18","passed","2026-09-18","TestCreateOrder","test_create_order","",""
"Система вернёт 404, если неправильно указать логин или пароль.","6253","Ошибка авторизации при неверном поле: password","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_login_courier","",""
"Система вернёт 404, если неправильно указать логин или пароль.","8535","Ошибка авторизации при неверном поле: password","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_create_courier","",""
"
Для авторизации нужно передать login.
Кейс 'без password' стабильно отдаёт 504 Service unavailable —
это баг сервера, поэтому не тестируем.
","4639","Ошибка авторизации без поля login","tests","2026-09-18","passed","2026-09-18","TestLoginCourier","test_login_courier","",""
